M200,R200,s_DM,q_DM,Mean_Vx_DM,Mean_Vy_DM,Mean_Vz_DM,sigma_DM_1D,sigma_DM_3D,z_form,c200c,NFW_chi2,c200c_NoSubs,NFW_chi2_NoSubs,c200c_Einasto_NoSubs,NFW_chi2_Einasto_NoSubs,MStar,MGas,MGas_Hot,MGas_T,s_Gas,q_Gas,dSigma_0,dSigma_1,dSigma_2,dSigma_3,dSigma_4,dSigma_5,dSigma_6,dSigma_7,dSigma_8,dSigma_9,dSigma_NoSubs_0,dSigma_NoSubs_1,dSigma_NoSubs_2,dSigma_NoSubs_3,dSigma_NoSubs_4,dSigma_NoSubs_5,dSigma_NoSubs_6,dSigma_NoSubs_7,dSigma_NoSubs_8,dSigma_NoSubs_9,MStar_BCG100
15.186333,2432.7222,0.8015212474088508,0.9602234345431506,542.5784912109375,554.2910766601562,-358.0058288574219,1060.2188720703125,1946.9505971615406,0.9230008161779089,5.563991053681077,0.1985561928851476,6.134498026031,0.19202913388698617,0.0,0.0,13.170564505981035,14.334495692713798,14.334451013137947,6.1568920380586505,0.8510550081767461,0.9743699880973632,558855301.7820423,507588364.33808804,460972594.6765958,403042356.92705685,335139065.6449373,274921693.14048386,212820558.3868884,154536071.07446486,120056109.8923521,90781176.3973202,560146981.2250068,508987312.30231345,454182906.06841445,397077470.8184601,333084846.1848979,273458771.42002785,210542696.4929704,154687295.8176008,116186261.01995125,84724919.30178782,12.457410813594228
15.116388,2305.6597,0.637286102800581,0.8162781745155905,147.5259246826172,-47.69873046875,-25.849193572998047,1161.279541015625,1873.9777164127324,0.4818329434209512,4.955489039105834,0.648493118459566,5.710790298838227,0.8732766198929048,0.0,0.0,13.113494597035436,14.245976299827223,14.24578845235197,5.857959186770208,0.8349755277164217,0.8875044292333604,341678141.0312295,312809917.2272023,338198017.58437514,349310603.6444024,310863542.2950566,282197281.87960213,230892136.70920187,169444586.2084024,123248831.72367384,86288281.91002043,357193884.39036584,342961836.53056645,332605230.71180713,321093809.4507876,293761071.47770166,263094409.03408894,217049816.2007647,160881229.890626,116783801.25371581,80732057.6404233,12.27303097023498
15.014233,2131.6853,0.5347555228872594,0.647029990781258,45.56578826904297,126.3016357421875,93.20561981201172,1055.3758544921875,1671.478512604747,0.6761104112134777,4.014295828929317,0.1653694965671363,4.474030084528676,0.19595616148080108,0.0,0.0,13.029626213250703,14.158406869542503,14.158174985276917,4.984191638995351,0.8173482187776729,0.8917657581302671,432421422.34461987,350807285.7448809,289773731.1178938,224721157.35046226,194764512.85611582,163543114.5899189,139489046.5907354,109592114.35455526,80890395.19834468,66526597.57367438,436623842.1981076,351128062.5157559,291531240.92483234,232840470.189542,191050982.49753672,163180999.2175023,135575082.60622495,107809744.55746713,80369311.55190444,60756755.02738442,12.326663682800596
14.954083,2035.5553,0.5753827603733054,0.7510658594090067,27.854286193847656,-180.00965881347656,-150.59954833984375,963.0171508789062,1656.8117809980304,0.524565820433923,4.117540239589685,0.3322276702284412,4.795858084565418,0.3888483744773209,0.0,0.0,12.956171898754462,14.08700497590478,14.086318900934648,4.221650294316014,0.7245070446332051,0.819517840679206,300756618.24409413,250577667.95061922,248864450.68927044,211629827.35912454,182083360.96375483,153537835.54762715,134202096.55314153,108497289.3021473,101189788.40619774,75907036.56210604,298857165.93239677,262133485.235052,247749278.33566755,215636418.83840942,183813774.17226148,153891046.39199904,127517642.26846774,105795488.95505913,92126861.51549429,67994342.41217788,12.241264411569944
14.92522,1990.9474,0.6172396048281679,0.6774994816948358,-227.40869140625,424.8636779785156,131.71701049804688,1149.607666015625,1652.489592275349,0.32882972420595435,5.3141115003449,0.18749933615070316,5.917300126670418,0.1207379459176946,0.0,0.0,12.93616634293361,14.067370584663974,14.066716397769525,4.181880248645588,0.8067237499738975,0.8244413009437446,337373108.1221713,303181069.04307055,289302161.331095,248341535.40445054,206121721.09530312,171220744.16582865,140725582.7522626,112749568.25173411,83933356.72782081,68110635.60406844,349635098.50825465,311346657.5087379,282959255.8437159,244946323.88308078,203886175.75582886,166137322.65127146,135511008.6396099,107847793.20113349,79793123.10621575,59720817.51152745,12.228090512940351
14.865417,1901.6171,0.44574043771492095,0.5831709182787603,-386.2884826660156,-496.4382629394531,458.8036804199219,749.9280395507812,1534.9867636281276,0.32882972420595435,4.29971194243165,1.3533900716839498,5.432439518785606,0.33658758454577314,0.0,0.0,12.897573204536986,13.998905874244123,13.998726839125448,3.5762540127275444,0.4946820014885138,0.5678318614086635,585920659.4734294,463657239.14356565,361454871.1940038,273281137.90850884,207493191.1704482,165746449.78554043,127489292.8305371,92058338.10837707,61678622.65165356,42092559.63617541,552710973.1101098,441112722.6078045,343481233.4944319,264827221.422113,208923651.14619058,164708533.2782812,124625170.93790613,89054925.85998411,62423339.026016235,46368293.59881957,12.149783410699248
14.662083,1626.8896,0.7244383212971367,0.7606649671848087,385.29852294921875,86.94184875488281,926.2085571289062,656.7442016601562,1259.6901847300358,0.14187620396956202,2.848396894337401,0.2469074675063377,3.2226432543843457,0.22789849571597573,0.0,0.0,12.689828414287833,13.796118437993098,13.795387728726807,2.855048193346208,0.8643754766393985,0.9131769997112106,124250072.61117655,110872324.32981098,99527330.68742532,106021714.72973922,108783993.5027157,100568540.59540895,83520248.35767308,73300594.21245007,63703427.82568111,54144337.56466542,125896494.96280658,115553904.49750948,105712563.86520082,102579996.26346341,101543202.7237334,95484775.29976875,82775188.54191747,71840865.0508196,59347610.81755855,45468649.782824,11.850470633164012
14.764341,1759.7019,0.6811374357069578,0.7608854281250732,-0.3230529725551605,-472.6272277832031,-697.0160522460938,679.1173095703125,1359.900299663571,0.6761104112134777,4.123307392154082,0.22175312611240042,4.6665964146759835,0.12013369486782462,0.0,0.0,12.799144199876896,13.913172247985006,13.912987099695089,3.0036938103310824,0.8748903577248106,0.9119672245152337,347608154.66085327,340817520.50533855,290714584.0881013,258992819.58760893,218733066.79924896,177811514.74678248,138503037.55483156,112385121.95940787,90851296.57905038,67635121.97610247,353504118.7929833,322352268.8343642,286275401.26648057,254728116.81576747,217912052.82980037,176095948.09423757,139043752.01487297,112116813.61970751,86469083.64552128,64607924.83887512,12.153098623182771
14.600158,1551.3162,0.7181980701167687,0.8797813769392845,328.88421630859375,-181.9477081298828,-285.93170166015625,658.4628295898438,1244.194857879145,0.6214287452425136,5.609349062829675,0.15849314900150427,6.132419889494571,0.11940612361837888,0.0,0.0,12.65618347506431,13.756199388151426,13.756010567686271,2.8528143575175338,0.8505115707061762,0.8939497066342729,338504593.1776376,280987255.85923004,249754729.1796615,224521542.21097207,198015125.99319524,164183451.36001018,134765609.4187035,98479026.67401564,75734520.37622456,57424936.91224827,334682284.9141003,282626285.8031248,254304960.18676823,221417255.78196973,197621760.52246335,165482864.20554525,130427475.32154758,96551569.6745317,72810072.98047374,52671101.8236606,12.021188309254606
14.807001,1818.212,0.8037753615994242,0.9899157570713241,190.75848388671875,-76.11051940917969,114.75267028808594,899.3978881835938,1461.3185420268344,1.2484726142451428,6.158407664182208,0.09029497011426232,6.8516653141737045,0.10216770458553343,0.0,0.0,12.790717846850503,13.971728646171025,13.971100887920455,3.6117066749092954,0.8693141485912453,0.9689073887178565,392916159.2869178,358074727.8077351,322628647.33520967,280504489.88968205,243359990.3091642,192530339.2694529,154814390.39020172,115157025.26831725,87006403.46033332,65148632.39318759,392385247.23907316,357281246.5337279,321647462.9350022,278758643.3792128,240977685.46541062,193635538.63519344,151224152.56774214,114044077.38245922,82720926.95438366,59024316.2834456,12.1890882629692
14.803357,1813.2046,0.7436390135897218,0.9029225394970094,131.04183959960938,-47.87720489501953,240.3348388671875,756.5132446289062,1391.458162895984,0.7001063537185233,4.620840681037347,0.14585745074950754,5.094905899897248,0.141613054464634,0.0,0.0,12.855684850189594,13.938035187334844,13.937915723129375,3.536734138613965,0.8221675331873245,0.9123333113434914,378657829.4224429,373801712.60904324,323159795.6966816,302917272.2724223,266567696.88935372,209484181.95574462,162053298.20156288,123687768.64758846,91115964.28629044,67097600.39872931,362839615.7852169,355821368.87309957,326895794.12181723,296007875.555765,251957030.2715953,201331927.3731341,157322768.76745978,118538688.4992642,89264492.29401979,64441369.66591426,12.092099214022905
